,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
IGHG3,0.3193517348270539,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010551250724495699,0.0,0.0,0.022282798422377872
LAMP2,0.31870625195660657,0.0,9.721715e-05,0.0,0.009900990099009901,0.00014834150871677687,0.0,0.0,0.022282798422377872
CHN1,0.3169952762196753,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001146883325607086,0.0,0.0,0.022282798422377872
APOD,0.316837978455437,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001385157556085475,0.0,0.0,0.022282798422377872
RTN1,0.31634973171359565,0.0,9.721715e-05,0.0,0.009900990099009901,0.00012011184052036325,0.0,0.0,0.022282798422377872
IGLC2,0.31244224398395454,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001037934723708008,0.0,0.0,0.022282798422377872
GPRC5B,0.3081170902927622,0.0,9.721715e-05,0.0,0.009900990099009901,0.00015813877702719177,0.0,0.0,0.022282798422377872
KRT19,0.3069948569376648,0.0,9.721715e-05,0.0,0.009900990099009901,0.00011795045868075656,0.0,0.0,0.022282798422377872
QKI,0.30673568960842806,0.0,9.721715e-05,0.0,0.009900990099009901,0.00012010125524686758,0.0,0.0,0.022282798422377872
EFHD1,0.3030201236583873,0.0,9.721715e-05,0.0,0.009900990099009901,0.00013206779736596295,0.0,0.0,0.022282798422377872
PCP4,0.2985987888937752,0.0,9.721715e-05,0.0,0.009900990099009901,8.76808183709681e-05,0.0,0.0,0.022282798422377872
SLC44A1,0.2962543893987617,0.0,9.721715e-05,0.0,0.009900990099009901,0.00015117830677933075,0.0,0.0,0.022282798422377872
MYRF,0.29574455640923547,0.0,9.721715e-05,0.0,0.009900990099009901,0.00013422215192558746,0.0,0.0,0.022282798422377872
PLA2G16,0.294827940444798,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001077859877507853,0.0,0.0,0.022282798422377872
STMN2,0.29421423339783775,0.0,9.721715e-05,0.0,0.009900990099009901,9.565037050380149e-05,0.0,0.0,0.022282798422377872
SEMA3B,0.2910458404983022,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010724183166855421,0.0,0.0,0.022282798422377872
NDUFA4,0.2899342984541937,0.0,9.721715e-05,0.0,0.009900990099009901,0.00013942075598928662,0.0,0.0,0.022282798422377872
QDPR,0.28981514236731976,0.0,9.721715e-05,0.0,0.009900990099009901,9.685424612806757e-05,0.0,0.0,0.022282798422377872
UGT8,0.2884798599790912,0.0,9.721715e-05,0.0,0.009900990099009901,0.00014989812628613634,0.0,0.0,0.022282798422377872
TUBA1A,0.2867755830337829,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010924409928686894,0.0,0.0,0.022282798422377872
CPB1,0.2859013522292957,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010058528032070319,0.0,0.0,0.022282798422377872
CERCAM,0.2853897887362654,0.0,9.721715e-05,0.0,0.009900990099009901,0.00011028387812898751,0.0,0.0,0.022282798422377872
TUBA1B,0.28529140986297474,0.0,9.721715e-05,0.0,0.009900990099009901,9.981865436700641e-05,0.0,0.0,0.022282798422377872
IGHA1,0.284900093269271,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010367242665959639,0.0,0.0,0.022282798422377872
EDIL3,0.28015527187522504,0.0,9.721715e-05,0.0,0.009900990099009901,0.00012737045041781125,0.0,0.0,0.022282798422377872
CNDP1,0.2787858573044505,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010180033527399393,0.0,0.0,0.022282798422377872
PIP4K2A,0.2740451485814129,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010817458664199422,0.0,0.0,0.022282798422377872
UCHL1,0.27039247655795434,0.0,9.721715e-05,0.0,0.009900990099009901,0.00013761519580192895,0.0,0.0,0.022282798422377872
SNCB,0.26966693055856816,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010681842565787666,0.0,0.0,0.022282798422377872
FGFR2,0.26843920500999774,0.0,9.721715e-05,0.0,0.009900990099009901,0.00012195101033556636,0.0,0.0,0.022282798422377872
ABCA2,0.26823626979872556,0.0,9.721715e-05,0.0,0.009900990099009901,0.00012542890825255112,0.0,0.0,0.022282798422377872
CALM3,0.2680919673037842,0.0,9.721715e-05,0.0,0.009900990099009901,8.74210334246837e-05,0.0,0.0,0.022282798422377872
TSC22D4,0.26779352784395194,0.0,9.721715e-05,0.0,0.009900990099009901,0.00011656022067118976,0.0,0.0,0.022282798422377872
GSN,0.26654175124927953,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010836656702827905,0.0,0.0,0.022282798422377872
MDH1,0.26652796415534113,0.0,9.721715e-05,0.0,0.009900990099009901,0.00011178581460946104,0.0,0.0,0.022282798422377872
FAM107B,0.26643930318500153,0.0,9.721715e-05,0.0,0.009900990099009901,0.00012268556599861946,0.0,0.0,0.022282798422377872
GPR37,0.264079653113417,0.0,9.721715e-05,0.0,0.009900990099009901,0.00012118342580334497,0.0,0.0,0.022282798422377872
GLDN,0.2622597595347312,0.0,9.721715e-05,0.0,0.009900990099009901,0.00011117735185355895,0.0,0.0,0.022282798422377872
AL359091.1,0.2612340617594362,0.0,9.721715e-05,0.0,0.009900990099009901,0.00012086949939822472,0.0,0.0,0.022282798422377872
TPPP3,0.2610997336440378,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010865093125163544,0.0,0.0,0.022282798422377872
HOPX,0.260450844014643,0.0,9.721715e-05,0.0,0.009900990099009901,0.00012090055525928557,0.0,0.0,0.022282798422377872
OLIG1,0.2594978580066453,0.0,9.721715e-05,0.0,0.009900990099009901,0.00012950882654759493,0.0,0.0,0.022282798422377872
FABP4,0.2585210767868654,0.0,9.721715e-05,0.0,0.009900990099009901,8.635160917444665e-05,0.0,0.0,0.022282798422377872
CDKN1C,0.2572400934013023,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001010501170111636,0.0,0.0,0.022282798422377872
NEFM,0.25722676046490645,0.0,9.721715e-05,0.0,0.009900990099009901,0.00013696955850453735,0.0,0.0,0.022282798422377872
CSRP1,0.2567805302618221,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010586814650232765,0.0,0.0,0.022282798422377872
THY1,0.2563731065299021,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001243616372566058,0.0,0.0,0.022282798422377872
CMTM5,0.2544005831586226,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001270123210366291,0.0,0.0,0.022282798422377872
SUN2,0.25407769697739596,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010449284800652927,0.0,0.0,0.022282798422377872
SLAIN1,0.2540479983291231,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010651940536900327,0.0,0.0,0.022282798422377872
PADI2,0.2522685940854864,0.0,9.721715e-05,0.0,0.009900990099009901,9.89602955153191e-05,0.0,0.0,0.022282798422377872
TUBB2A,0.2512480568615174,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010801681555132008,0.0,0.0,0.022282798422377872
SNCG,0.24875632751803248,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010954003722902069,0.0,0.0,0.022282798422377872
HAPLN2,0.24620766473641206,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001156456181058308,0.0,0.0,0.022282798422377872
CD9,0.24609318456886814,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010828938829305803,0.0,0.0,0.022282798422377872
KRT8,0.24541739378493363,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010653409638216689,0.0,0.0,0.022282798422377872
MALAT1,0.24421566218744523,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010083816780330317,0.0,0.0,0.022282798422377872
BOK,0.24235826365176624,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001040155996575111,0.0,0.0,0.022282798422377872
APLP1,0.24008973052059757,0.0,9.721715e-05,0.0,0.009900990099009901,0.00014197955428277805,0.0,0.0,0.022282798422377872
PRR18,0.23957809496653026,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010785876455127316,0.0,0.0,0.022282798422377872
YWHAG,0.23939620246111865,0.0,9.721715e-05,0.0,0.009900990099009901,9.211373041021953e-05,0.0,0.0,0.022282798422377872
CDC42EP1,0.23880226125336818,0.0,9.721715e-05,0.0,0.009900990099009901,0.00011207889493235349,0.0,0.0,0.022282798422377872
LMO4,0.23845787099122748,0.0,9.721715e-05,0.0,0.009900990099009901,9.61443139102211e-05,0.0,0.0,0.022282798422377872
TMEM63A,0.23751775709324255,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001162511495548739,0.0,0.0,0.022282798422377872
LPAR1,0.23665356016407563,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010697364502732042,0.0,0.0,0.022282798422377872
NDRG1,0.2360785219569635,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010159147648908706,0.0,0.0,0.022282798422377872
TP53INP2,0.2355518137337922,0.0,9.721715e-05,0.0,0.009900990099009901,7.57969186011464e-05,0.0,0.0,0.022282798422377872
RASSF2,0.23545404937651346,0.0,9.721715e-05,0.0,0.009900990099009901,8.729349651591017e-05,0.0,0.0,0.022282798422377872
FA2H,0.23489813898780704,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010984024669966091,0.0,0.0,0.022282798422377872
AIF1L,0.2332543433444782,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010295717276041936,0.0,0.0,0.022282798422377872
GPM6A,0.2331216873416444,0.0,9.721715e-05,0.0,0.009900990099009901,9.131357980691061e-05,0.0,0.0,0.022282798422377872
ALB,0.23092009381981043,0.0,9.721715e-05,0.0,0.009900990099009901,7.332504922068766e-05,0.0,0.0,0.022282798422377872
AQP1,0.23036053189310632,0.0,9.721715e-05,0.0,0.009900990099009901,0.00012094342750696849,0.0,0.0,0.022282798422377872
MUC1,0.228039132181562,0.0,9.721715e-05,0.0,0.009900990099009901,9.579960813051538e-05,0.0,0.0,0.022282798422377872
EVI2A,0.22687087737457257,0.0,9.721715e-05,0.0,0.009900990099009901,0.00012626350692702138,0.0,0.0,0.022282798422377872
ATP1A3,0.2261624636279214,0.0,9.721715e-05,0.0,0.009900990099009901,9.427690677785585e-05,0.0,0.0,0.022282798422377872
PHLDB1,0.22552836271636698,0.0,9.721715e-05,0.0,0.009900990099009901,9.07037577547429e-05,0.0,0.0,0.022282798422377872
GAP43,0.2251890262604459,0.0,9.721715e-05,0.0,0.009900990099009901,0.00011321879916858034,0.0,0.0,0.022282798422377872
HPCAL1,0.22393994574802606,0.0,9.721715e-05,0.0,0.009900990099009901,6.542527855389973e-05,0.0,0.0,0.022282798422377872
RGS4,0.22357426514559037,0.0,9.721715e-05,0.0,0.009900990099009901,8.650558416175174e-05,0.0,0.0,0.022282798422377872
CERS2,0.22354953858016477,0.0,9.721715e-05,0.0,0.009900990099009901,0.00014176603560554034,0.0,0.0,0.022282798422377872
NDRG4,0.22346570935419746,0.0,9.721715e-05,0.0,0.009900990099009901,8.621173682694498e-05,0.0,0.0,0.022282798422377872
DNM1,0.22296664507620215,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010215817863596871,0.0,0.0,0.022282798422377872
FGF1,0.22233295686510707,0.0,9.721715e-05,0.0,0.009900990099009901,9.36794965340787e-05,0.0,0.0,0.022282798422377872
HSPA8,0.22189264741048725,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010206884414498721,0.0,0.0,0.022282798422377872
FDCSP,0.22182052177562347,0.0,9.721715e-05,0.0,0.009900990099009901,8.909488177459048e-05,0.0,0.0,0.022282798422377872
EEF1A2,0.22104731028329438,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010218727625861501,0.0,0.0,0.022282798422377872
VWA1,0.22097085456078933,0.0,9.721715e-05,0.0,0.009900990099009901,8.497188202300835e-05,0.0,0.0,0.022282798422377872
GJB1,0.22058876409985945,0.0,9.721715e-05,0.0,0.009900990099009901,0.00012416372720074794,0.0,0.0,0.022282798422377872
NSF,0.2202655832419746,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010275052971836928,0.0,0.0,0.022282798422377872
ANLN,0.22007258695009504,0.0,9.721715e-05,0.0,0.009900990099009901,8.085411433120262e-05,0.0,0.0,0.022282798422377872
NEFH,0.21637861528466173,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001342495753059238,0.0,0.0,0.022282798422377872
TMEM125,0.2160566601633514,0.0,9.721715e-05,0.0,0.009900990099009901,0.00011804737422033934,0.0,0.0,0.022282798422377872
FOLH1,0.21456454247177095,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010181327938336008,0.0,0.0,0.022282798422377872
CABP1,0.21353710613077512,0.0,9.721715e-05,0.0,0.009900990099009901,7.717753231295085e-05,0.0,0.0,0.022282798422377872
BASP1,0.2133891775374523,0.0,9.721715e-05,0.0,0.009900990099009901,9.878570660433265e-05,0.0,0.0,0.022282798422377872
SLC17A7,0.21265393431496696,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010554158909631077,0.0,0.0,0.022282798422377872
STXBP1,0.21264753096101122,0.0,9.721715e-05,0.0,0.009900990099009901,9.031556224570172e-05,0.0,0.0,0.022282798422377872
FEZ1,0.20985385010681384,0.0,9.721715e-05,0.0,0.009900990099009901,7.890977217423937e-05,0.0,0.0,0.022282798422377872
SLC31A2,0.2073823674631077,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010547839363108156,0.0,0.0,0.022282798422377872
CALM1,0.20718689683063113,0.0,9.721715e-05,0.0,0.009900990099009901,0.00011111719074081802,0.0,0.0,0.022282798422377872
C1orf198,0.20683048012140667,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010625649878339197,0.0,0.0,0.022282798422377872
DAAM2,0.2058682189436839,0.0,9.721715e-05,0.0,0.009900990099009901,9.038243091787319e-05,0.0,0.0,0.022282798422377872
IGHG4,0.2043834697424402,0.0,9.721715e-05,0.0,0.009900990099009901,9.075577969166532e-05,0.0,0.0,0.022282798422377872
CBR1,0.20379266246225813,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010902718490692577,0.0,0.0,0.022282798422377872
MAP1B,0.20340896222583058,0.0,9.721715e-05,0.0,0.009900990099009901,9.628456575734665e-05,0.0,0.0,0.022282798422377872
GJC2,0.20299503165328708,0.0,9.721715e-05,0.0,0.009900990099009901,9.952481185732108e-05,0.0,0.0,0.022282798422377872
SCN1B,0.2029632595777792,0.0,9.721715e-05,0.0,0.009900990099009901,7.699413160963418e-05,0.0,0.0,0.022282798422377872
GPM6B,0.202591731233236,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001044959317006659,0.0,0.0,0.022282798422377872
RHOU,0.20235374919613472,0.0,9.721715e-05,0.0,0.009900990099009901,9.852331500440363e-05,0.0,0.0,0.022282798422377872
MEF2C,0.20025731114394685,0.0,9.721715e-05,0.0,0.009900990099009901,7.593387729092634e-05,0.0,0.0,0.022282798422377872
JAM3,0.199726163330425,0.0,9.721715e-05,0.0,0.009900990099009901,9.650194365898222e-05,0.0,0.0,0.022282798422377872
ADAMTS4,0.19924022981110692,0.0,9.721715e-05,0.0,0.009900990099009901,9.001544975425228e-05,0.0,0.0,0.022282798422377872
SIRT2,0.199236904547448,0.0,9.721715e-05,0.0,0.009900990099009901,8.494251398519567e-05,0.0,0.0,0.022282798422377872
GLTP,0.19920841138279255,0.0,9.721715e-05,0.0,0.009900990099009901,0.00011382418093164414,0.0,0.0,0.022282798422377872
IGHM,0.1990651684448058,0.0,9.721715e-05,0.0,0.009900990099009901,8.060103841149933e-05,0.0,0.0,0.022282798422377872
SOX8,0.19816499158958717,0.0,9.721715e-05,0.0,0.009900990099009901,9.041980966604529e-05,0.0,0.0,0.022282798422377872
PPP3CA,0.19795848627773205,0.0,9.721715e-05,0.0,0.009900990099009901,6.787906503109804e-05,0.0,0.0,0.022282798422377872
GABRA1,0.19686355248907086,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010545415518890071,0.0,0.0,0.022282798422377872
BEX1,0.1948867245950688,0.0,9.721715e-05,0.0,0.009900990099009901,7.063356789370656e-05,0.0,0.0,0.022282798422377872
ATP1A1,0.19464745639319322,0.0,9.721715e-05,0.0,0.009900990099009901,0.00011364772774560678,0.0,0.0,0.022282798422377872
RAB3A,0.1934218430544149,0.0,9.721715e-05,0.0,0.009900990099009901,7.83935379121527e-05,0.0,0.0,0.022282798422377872
NINJ2,0.19269579321261793,0.0,9.721715e-05,0.0,0.009900990099009901,9.19099968905639e-05,0.0,0.0,0.022282798422377872
TSPYL1,0.19262355697035038,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010809392436120598,0.0,0.0,0.022282798422377872
NPTN,0.19181886162282913,0.0,9.721715e-05,0.0,0.009900990099009901,8.703793896083991e-05,0.0,0.0,0.022282798422377872
HIPK2,0.19130482009026256,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010597498103761175,0.0,0.0,0.022282798422377872
TFF1,0.1904310888120225,0.0,9.721715e-05,0.0,0.009900990099009901,8.155634844385147e-05,0.0,0.0,0.022282798422377872
SEMA4D,0.1904011116242822,0.0,9.721715e-05,0.0,0.009900990099009901,9.983927554222855e-05,0.0,0.0,0.022282798422377872
HHIP,0.18816075468974436,0.0,9.721715e-05,0.0,0.009900990099009901,9.378125311875737e-05,0.0,0.0,0.022282798422377872
SLC1A2,0.1862923209300063,0.0,9.721715e-05,0.0,0.009900990099009901,7.838278989737044e-05,0.0,0.0,0.022282798422377872
CCL19,0.18561651220668055,0.0,9.721715e-05,0.0,0.009900990099009901,7.780569519621756e-05,0.0,0.0,0.022282798422377872
PREX1,0.18374402933564854,0.0,9.721715e-05,0.0,0.009900990099009901,8.359973267465827e-05,0.0,0.0,0.022282798422377872
TMEM98,0.18337467001190125,0.0,9.721715e-05,0.0,0.009900990099009901,8.104391160320902e-05,0.0,0.0,0.022282798422377872
GRIN1,0.1813136244730652,0.0,9.721715e-05,0.0,0.009900990099009901,0.00011603180040973801,0.0,0.0,0.022282798422377872
AMER2,0.18102269599240312,0.0,9.721715e-05,0.0,0.009900990099009901,8.842857756008143e-05,0.0,0.0,0.022282798422377872
KRT18,0.17934159193768706,0.0,9.721715e-05,0.0,0.009900990099009901,8.54098840250921e-05,0.0,0.0,0.022282798422377872
CAMK2N1,0.1792526442691101,0.0,9.721715e-05,0.0,0.009900990099009901,7.850072081864766e-05,0.0,0.0,0.022282798422377872
TSPAN7,0.17906175268461788,0.0,9.721715e-05,0.0,0.009900990099009901,8.6664933488122e-05,0.0,0.0,0.022282798422377872
SYP,0.17788312111335094,0.0,9.721715e-05,0.0,0.009900990099009901,8.657091641084634e-05,0.0,0.0,0.022282798422377872
TAGLN3,0.17686444587234323,0.0,9.721715e-05,0.0,0.009900990099009901,8.352663987044661e-05,0.0,0.0,0.022282798422377872
AC018647.1,0.17502591911086493,0.0,9.721715e-05,0.0,0.009900990099009901,6.866461762084422e-05,0.0,0.0,0.022282798422377872
SNRPN,0.17490160461793916,0.0,9.721715e-05,0.0,0.009900990099009901,6.775682712849251e-05,0.0,0.0,0.022282798422377872
CKB,0.17404002876793395,0.0,9.721715e-05,0.0,0.009900990099009901,7.525209098621999e-05,0.0,0.0,0.022282798422377872
LITAF,0.17388405042620622,0.0,9.721715e-05,0.0,0.009900990099009901,9.22612766438358e-05,0.0,0.0,0.022282798422377872
IGHG1,0.17323171102374066,0.0,9.721715e-05,0.0,0.009900990099009901,8.845701067362553e-05,0.0,0.0,0.022282798422377872
HBA2,0.17265042772684347,0.0,9.721715e-05,0.0,0.009900990099009901,7.539162902921374e-05,0.0,0.0,0.022282798422377872
NPTXR,0.1721675075895469,0.0,9.721715e-05,0.0,0.009900990099009901,6.979453086108468e-05,0.0,0.0,0.022282798422377872
GNG3,0.17180086590200003,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010190864800127861,0.0,0.0,0.022282798422377872
SERPINI1,0.1707556569190356,0.0,9.721715e-05,0.0,0.009900990099009901,7.324482134781758e-05,0.0,0.0,0.022282798422377872
TSC22D1,0.17009430181026902,0.0,9.721715e-05,0.0,0.009900990099009901,9.366266281431145e-05,0.0,0.0,0.022282798422377872
